Código_Actividad,identificacion,Código_Actividad,Hora del Dia,Etiqueta Interacción,Etiqueta Actividad,Etiqueta Actividad Resumida,Preocupación,Prisa,Irritación,Depresión,Tensión,Calma,Disfrute,Lugar de actividad,Zona_Actividad,Total en minutos de la actividad,Hora actividad redondeada,A_gusto_en_la_Interacción,Minutos*Preoc,Minutos*Prisa,Minutos*Irritación,Minutos*Depresión,Minutos*Tensión,Minutos*Calma,Minutos*Disfrute,Minutos*AgustInter
Claudia151209Martín14,Claudia151209Martín,Claudia151209Martín14,Noche,Con amigos,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",1,3,1,1,1,8,8,Casa de amigos,2,35,16:00:00,10,35,105,35,35,35,280,280,350
Claudia151209Martín15,Claudia151209Martín,Claudia151209Martín15,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",1,3,1,1,1,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",11,40,17:00:00,,40,120,40,40,40,320,320,
Claudia151209Martín16,Claudia151209Martín,Claudia151209Martín16,Noche,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,7,9,Casa donde vive,11,10,17:00:00,,10,10,10,10,10,70,90,
Claudia151209Martín17,Claudia151209Martín,Claudia151209Martín17,Noche,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,2,1,1,1,9,9,Casa donde vive,11,30,18:00:00,,30,60,30,30,30,270,270,
Claudia151209Martín18,Claudia151209Martín,Claudia151209Martín18,Noche,Estaba solo,Leyó / Estudió,Leyó o estudió,1,1,1,1,1,9,9,Casa donde vive,11,75,19:00:00,,75,75,75,75,75,675,675,
Claudia151210José Luis1,Claudia151210José Luis,Claudia151210José Luis1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",9,1,1,1,1,5,8,Casa donde vive,15,30,9:00:00,,270,30,30,30,30,150,240,
Claudia151210José Luis2,Claudia151210José Luis,Claudia151210José Luis2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",9,1,1,1,5,6,6,Casa donde vive,15,10,9:00:00,,90,10,10,10,50,60,60,
Claudia151210José Luis3,Claudia151210José Luis,Claudia151210José Luis3,Mañana,Con otros familiares,Cuidó a alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",8,1,4,1,1,6,5,Casa donde vive,15,90,10:00:00,9,720,90,360,90,90,540,450,810
Claudia151210José Luis4,Claudia151210José Luis,Claudia151210José Luis4,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",6,1,1,1,1,6,8,"Viajó a algún lado (coche, caminando, bicicleta)",15,5,11:00:00,,30,5,5,5,5,30,40,
Claudia151210José Luis5,Claudia151210José Luis,Claudia151210José Luis5,Mañana,Estaba solo,Fue de compras,Compras,7,1,1,1,5,6,8,"Supermercado, despensa, verdulería, carnicería, dietética",15,15,11:00:00,,105,15,15,15,75,90,120,
Claudia151210José Luis6,Claudia151210José Luis,Claudia151210José Luis6,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",6,2,1,1,4,6,8,"Viajó a algún lado (coche, caminando, bicicleta)",15,5,11:00:00,,30,10,5,5,20,30,40,
Claudia151210José Luis7,Claudia151210José Luis,Claudia151210José Luis7,Mañana,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",5,3,1,1,3,7,7,Casa donde vive,15,90,12:00:00,,450,270,90,90,270,630,630,
Claudia151210José Luis8,Claudia151210José Luis,Claudia151210José Luis8,Tarde,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",5,1,1,1,1,7,8,Casa donde vive,15,20,13:00:00,,100,20,20,20,20,140,160,
Claudia151210José Luis9,Claudia151210José Luis,Claudia151210José Luis9,Tarde,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",6,1,1,1,1,7,8,Casa donde vive,15,60,13:00:00,,360,60,60,60,60,420,480,
Claudia151210José Luis10,Claudia151210José Luis,Claudia151210José Luis10,Tarde,Con otros familiares,Cuidó a alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",6,1,1,1,1,4,5,Casa donde vive,15,90,14:00:00,9,540,90,90,90,90,360,450,810
Claudia151210José Luis11,Claudia151210José Luis,Claudia151210José Luis11,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",4,1,1,1,1,6,9,Casa donde vive,15,60,16:00:00,,240,60,60,60,60,360,540,
Claudia151210José Luis12,Claudia151210José Luis,Claudia151210José Luis12,Tarde,Con amigos,Comió,"Dedicación personal (comió, bañó, descansó)",6,1,1,1,1,6,8,Casa donde vive,15,60,17:00:00,9,360,60,60,60,60,360,480,540
Claudia151210José Luis13,Claudia151210José Luis,Claudia151210José Luis13,Tarde,Estaba solo,Trabajó,Trabajó,6,3,1,1,1,5,8,Casa donde vive,15,180,19:00:00,,1080,540,180,180,180,900,1440,
Claudia151210José Luis14,Claudia151210José Luis,Claudia151210José Luis14,Noche,Con otros familiares,Cuidó a alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",6,1,1,3,3,5,5,Casa donde vive,15,90,21:00:00,9,540,90,90,270,270,450,450,810
Claudia151210José Luis15,Claudia151210José Luis,Claudia151210José Luis15,Noche,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",5,1,1,1,1,6,8,Casa donde vive,15,30,22:00:00,,150,30,30,30,30,180,240,
Claudia151210José Luis16,Claudia151210José Luis,Claudia151210José Luis16,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",6,1,1,1,1,8,8,Casa donde vive,15,60,23:00:00,,360,60,60,60,60,480,480,
Claudia151210Mónica1,Claudia151210Mónica,Claudia151210Mónica1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",10,8,1,6,1,1,8,Casa donde vive,15,15,7:00:00,,150,120,15,90,15,15,120,
Claudia151210Mónica2,Claudia151210Mónica,Claudia151210Mónica2,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",10,8,1,6,1,1,8,Casa donde vive,15,60,7:00:00,,600,480,60,360,60,60,480,
Claudia151210Mónica3,Claudia151210Mónica,Claudia151210Mónica3,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,1,9,1,1,1,1,8,Casa donde vive,15,420,11:00:00,8,420,3780,420,420,420,420,3360,3360
Claudia151210Mónica4,Claudia151210Mónica,Claudia151210Mónica4,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,8,1,3,1,1,8,"Viajó a algún lado (coche, caminando, bicicleta)",15,15,15:00:00,,30,120,15,45,15,15,120,
Claudia151210Mónica5,Claudia151210Mónica,Claudia151210Mónica5,Tarde,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,8,1,1,1,1,8,Casa donde vive,15,20,15:00:00,,20,160,20,20,20,20,160,
Claudia151210Mónica6,Claudia151210Mónica,Claudia151210Mónica6,Tarde,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,8,1,4,1,1,6,Casa donde vive,15,20,15:00:00,,20,160,20,80,20,20,120,
Claudia151210Mónica7,Claudia151210Mónica,Claudia151210Mónica7,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,4,1,1,1,1,8,Casa donde vive,15,90,16:00:00,,90,360,90,90,90,90,720,
Claudia151210Mónica8,Claudia151210Mónica,Claudia151210Mónica8,Tarde,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,8,1,1,1,2,8,Casa donde vive,15,30,17:00:00,,30,240,30,30,30,60,240,
Claudia151210Mónica9,Claudia151210Mónica,Claudia151210Mónica9,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,9,1,4,1,1,7,Casa donde vive,15,20,18:00:00,,40,180,20,80,20,20,140,
Claudia151210Mónica10,Claudia151210Mónica,Claudia151210Mónica10,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,10,1,4,1,1,7,"Viajó a algún lado (coche, caminando, bicicleta)",12,15,18:00:00,,15,150,15,60,15,15,105,
Claudia151210Mónica11,Claudia151210Mónica,Claudia151210Mónica11,Noche,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,1,10,1,1,1,1,8,Lugar de trabajo,12,120,19:00:00,8,120,1200,120,120,120,120,960,960
Claudia151210Mónica12,Claudia151210Mónica,Claudia151210Mónica12,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,8,1,3,1,1,8,"Viajó a algún lado (coche, caminando, bicicleta)",15,15,20:00:00,,15,120,15,45,15,15,120,
Claudia151210Mónica13,Claudia151210Mónica,Claudia151210Mónica13,Noche,Con amigos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,8,1,1,1,1,8,Casa donde vive,15,45,21:00:00,9,45,360,45,45,45,45,360,405
Claudia151210Mónica14,Claudia151210Mónica,Claudia151210Mónica14,Noche,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,7,1,1,1,1,8,Casa donde vive,15,40,22:00:00,,40,280,40,40,40,40,320,
Claudia151210Mónica15,Claudia151210Mónica,Claudia151210Mónica15,Noche,Con amigos,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,7,1,1,1,1,8,Casa donde vive,15,30,22:00:00,9,30,210,30,30,30,30,240,270
Claudia151210Mónica16,Claudia151210Mónica,Claudia151210Mónica16,Noche,Con amigos,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,7,1,1,1,1,8,Casa donde vive,15,60,23:00:00,9,60,420,60,60,60,60,480,540
Claudia151211Rocío1,Claudia151211Rocío,Claudia151211Rocío1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",7,4,1,1,8,3,8,Casa donde vive,15,15,9:00:00,,105,60,15,15,120,45,120,
Claudia151211Rocío2,Claudia151211Rocío,Claudia151211Rocío2,Mañana,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",8,5,1,1,7,2,8,Casa donde vive,15,15,9:00:00,9,120,75,15,15,105,30,120,135
Claudia151211Rocío3,Claudia151211Rocío,Claudia151211Rocío3,Mañana,Con sus hijos jóvenes o nietos,Leyó / Estudió,Leyó o estudió,8,6,1,1,6,1,9,Casa donde vive,15,180,11:00:00,8,1440,1080,180,180,1080,180,1620,1440
Claudia151211Rocío4,Claudia151211Rocío,Claudia151211Rocío4,Tarde,Con pareja e hijos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",7,5,1,1,8,3,8,Casa donde vive,15,60,13:00:00,9,420,300,60,60,480,180,480,540
Claudia151211Rocío5,Claudia151211Rocío,Claudia151211Rocío5,Tarde,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",7,5,1,1,7,1,6,Casa donde vive,15,30,14:00:00,9,210,150,30,30,210,30,180,270
Claudia151211Rocío6,Claudia151211Rocío,Claudia151211Rocío6,Tarde,Con pareja e hijos,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",7,5,1,1,7,1,8,Casa donde vive,15,60,14:00:00,8,420,300,60,60,420,60,480,480
Claudia151211Rocío7,Claudia151211Rocío,Claudia151211Rocío7,Tarde,Estaba solo,Leyó / Estudió,Leyó o estudió,7,6,1,1,7,1,9,Casa donde vive,15,120,16:00:00,,840,720,120,120,840,120,1080,
Claudia151211Rocío8,Claudia151211Rocío,Claudia151211Rocío8,Tarde,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",8,5,1,1,7,1,6,Casa donde vive,15,20,17:00:00,9,160,100,20,20,140,20,120,180
Claudia151211Rocío9,Claudia151211Rocío,Claudia151211Rocío9,Tarde,Con pareja e hijos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",7,6,1,1,7,4,7,"Viajó a algún lado (coche, caminando, bicicleta)",13,15,17:00:00,9,105,90,15,15,105,60,105,135
Claudia151211Rocío10,Claudia151211Rocío,Claudia151211Rocío10,Tarde,Con compañeros de trabajo / escuela / club,Estudio,Leyó o estudió,8,2,1,1,7,3,10,"Escuela, Campus, u otro establecimiento educativo",13,180,19:00:00,9,1440,360,180,180,1260,540,1800,1620
Claudia151211Rocío11,Claudia151211Rocío,Claudia151211Rocío11,Noche,Con pareja e hijos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,4,9,9,"Viajó a algún lado (coche, caminando, bicicleta)",15,15,21:00:00,9,15,15,15,15,60,135,135,135
Claudia151211Rocío12,Claudia151211Rocío,Claudia151211Rocío12,Noche,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,4,7,8,Casa donde vive,15,30,21:00:00,10,30,30,30,30,120,210,240,300
Claudia151211Rocío13,Claudia151211Rocío,Claudia151211Rocío13,Noche,Con pareja e hijos,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,3,7,8,Casa donde vive,15,15,21:00:00,9,15,15,15,15,45,105,120,135
Claudia151211Rocío14,Claudia151211Rocío,Claudia151211Rocío14,Noche,Con pareja e hijos,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,6,9,Casa donde vive,15,75,22:00:00,10,75,75,75,75,75,450,675,750
Claudia2414Cecilia1,Claudia2414Cecilia,Claudia2414Cecilia1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,10,Casa donde vive,2,15,8:00:00,,15,15,15,15,15,120,150,
Claudia2414Cecilia2,Claudia2414Cecilia,Claudia2414Cecilia2,Mañana,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",1,3,1,1,1,7,9,Casa donde vive,2,30,8:00:00,9,30,90,30,30,30,210,270,270
Claudia2414Cecilia3,Claudia2414Cecilia,Claudia2414Cecilia3,Mañana,Con sus hijos jóvenes o nietos,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",4,4,1,1,1,6,10,Casa donde vive,2,120,9:00:00,10,480,480,120,120,120,720,1200,1200
Claudia2414Cecilia4,Claudia2414Cecilia,Claudia2414Cecilia4,Mañana,Con sus hijos jóvenes o nietos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",4,4,1,1,1,7,9,Casa donde vive,2,30,11:00:00,10,120,120,30,30,30,210,270,300
Claudia2414Cecilia5,Claudia2414Cecilia,Claudia2414Cecilia5,Mañana,Con sus hijos jóvenes o nietos,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,7,9,Casa donde vive,2,40,11:00:00,10,40,40,40,40,40,280,360,400
Claudia2414Cecilia6,Claudia2414Cecilia,Claudia2414Cecilia6,Mañana,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",4,7,1,1,1,6,10,Casa donde vive,2,25,12:00:00,10,100,175,25,25,25,150,250,250
Claudia2414Cecilia7,Claudia2414Cecilia,Claudia2414Cecilia7,Tarde,Con sus hijos jóvenes o nietos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,6,1,1,1,7,10,"Viajó a algún lado (coche, caminando, bicicleta)",12,15,12:00:00,10,15,90,15,15,15,105,150,150
Claudia2414Cecilia8,Claudia2414Cecilia,Claudia2414Cecilia8,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,7,9,"Viajó a algún lado (coche, caminando, bicicleta)",2,40,13:00:00,,40,40,40,40,40,280,360,
Claudia2414Cecilia9,Claudia2414Cecilia,Claudia2414Cecilia9,Tarde,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,8,6,Casa donde vive,2,120,14:00:00,,120,120,120,120,120,960,720,
Claudia2414Cecilia10,Claudia2414Cecilia,Claudia2414Cecilia10,Tarde,Estaba solo,Leyó / Estudió,Leyó o estudió,1,1,1,1,1,8,10,Casa donde vive,2,70,15:00:00,,70,70,70,70,70,560,700,
Claudia2414Cecilia11,Claudia2414Cecilia,Claudia2414Cecilia11,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",12,15,16:00:00,,15,15,15,15,15,120,120,
Claudia2414Cecilia12,Claudia2414Cecilia,Claudia2414Cecilia12,Tarde,Con sus hijos adultos,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,7,9,"Viajó a algún lado (coche, caminando, bicicleta)",12,10,16:00:00,10,10,10,10,10,10,70,90,100
Claudia2414Cecilia13,Claudia2414Cecilia,Claudia2414Cecilia13,Tarde,Con sus hijos jóvenes o nietos,Fue de compras,Compras,1,3,1,1,1,7,9,"Supermercado, despensa, verdulería, carnicería, dietética",12,40,17:00:00,10,40,120,40,40,40,280,360,400
Claudia2414Cecilia14,Claudia2414Cecilia,Claudia2414Cecilia14,Noche,Con sus hijos jóvenes o nietos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,5,1,1,1,8,10,"Viajó a algún lado (coche, caminando, bicicleta)",2,15,17:00:00,10,15,75,15,15,15,120,150,150
Claudia2414Cecilia15,Claudia2414Cecilia,Claudia2414Cecilia15,Noche,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,10,Casa donde vive,2,30,18:00:00,9,30,30,30,30,30,240,300,270
Claudia2414Cecilia16,Claudia2414Cecilia,Claudia2414Cecilia16,Noche,Con sus hijos jóvenes o nietos,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,3,8,9,Casa donde vive,2,75,19:00:00,10,75,75,75,75,225,600,675,750
Claudia2414Cecilia17,Claudia2414Cecilia,Claudia2414Cecilia17,Noche,Con sus hijos jóvenes o nietos,Jugó (cartas /juegos),"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,6,9,Casa donde vive,2,60,20:00:00,10,60,60,60,60,60,360,540,600
Claudia2414Cecilia18,Claudia2414Cecilia,Claudia2414Cecilia18,Noche,Con sus hijos jóvenes o nietos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,7,9,Casa donde vive,2,15,20:00:00,10,15,15,15,15,15,105,135,150
Claudia2414Cecilia19,Claudia2414Cecilia,Claudia2414Cecilia19,Noche,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,9,Casa donde vive,2,30,21:00:00,10,30,30,30,30,30,240,270,300
Claudia2414Cecilia20,Claudia2414Cecilia,Claudia2414Cecilia20,Noche,Con su pareja,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,8,10,Casa donde vive,2,75,22:00:00,10,75,75,75,75,75,600,750,750
Claudia3308Pablo1,Claudia3308Pablo,Claudia3308Pablo1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",1,7,1,1,1,5,8,Casa donde vive,3,10,7:00:00,,10,70,10,10,10,50,80,
Claudia3308Pablo2,Claudia3308Pablo,Claudia3308Pablo2,Mañana,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",4,8,1,1,"2,55303514376997",6,8,Casa donde vive,3,20,7:00:00,9,80,160,20,20,"51,0607028753994",120,160,180
Claudia3308Pablo3,Claudia3308Pablo,Claudia3308Pablo3,Mañana,Con sus hijos jóvenes o nietos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,6,1,1,1,7,9,"Viajó a algún lado (coche, caminando, bicicleta)",3,5,7:00:00,9,5,30,5,5,5,35,45,45
Claudia3308Pablo4,Claudia3308Pablo,Claudia3308Pablo4,Mañana,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,7,1,1,1,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",10,15,7:00:00,,15,105,15,15,15,105,120,
Claudia3308Pablo5,Claudia3308Pablo,Claudia3308Pablo5,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,4,1,1,1,1,8,9,Lugar de trabajo,10,270,10:00:00,9,1080,270,270,270,270,2160,2430,2430
Claudia3308Pablo6,Claudia3308Pablo,Claudia3308Pablo6,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,5,1,1,1,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",3,15,12:00:00,,15,75,15,15,15,120,135,
Claudia3308Pablo7,Claudia3308Pablo,Claudia3308Pablo7,Tarde,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,9,Casa donde vive,3,30,12:00:00,9,30,30,30,30,30,240,270,270
Claudia3308Pablo8,Claudia3308Pablo,Claudia3308Pablo8,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,7,8,Casa donde vive,3,60,13:00:00,,60,60,60,60,60,420,480,
Claudia3308Pablo9,Claudia3308Pablo,Claudia3308Pablo9,Tarde,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",4,4,1,1,1,8,9,Casa donde vive,3,15,14:00:00,9,60,60,15,15,15,120,135,135
Claudia3308Pablo10,Claudia3308Pablo,Claudia3308Pablo10,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",9,1,1,1,1,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",12,15,14:00:00,,135,15,15,15,15,120,120,
Claudia3308Pablo11,Claudia3308Pablo,Claudia3308Pablo11,Tarde,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,1,3,1,1,1,8,8,Lugar de trabajo,12,240,16:00:00,8,240,720,240,240,240,1920,1920,1920
Claudia3308Pablo12,Claudia3308Pablo,Claudia3308Pablo12,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,6,8,"Viajó a algún lado (coche, caminando, bicicleta)",13,15,18:00:00,,15,15,15,15,15,90,120,
Claudia3308Pablo13,Claudia3308Pablo,Claudia3308Pablo13,Noche,Estaba solo,Fue de compras,Compras,1,6,1,1,1,7,8,"Supermercado, despensa, verdulería, carnicería, dietética",13,45,19:00:00,,45,270,45,45,45,315,360,
Claudia3308Pablo14,Claudia3308Pablo,Claudia3308Pablo14,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",3,10,19:00:00,,10,10,10,10,10,80,80,
Claudia3308Pablo15,Claudia3308Pablo,Claudia3308Pablo15,Noche,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,8,9,Casa donde vive,3,15,19:00:00,,15,15,15,15,15,120,135,
Claudia3308Pablo16,Claudia3308Pablo,Claudia3308Pablo16,Noche,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,9,Casa donde vive,3,30,20:00:00,9,30,30,30,30,30,240,270,270
Claudia3308Pablo17,Claudia3308Pablo,Claudia3308Pablo17,Noche,Con sus hijos jóvenes o nietos,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,8,9,Casa donde vive,3,60,21:00:00,9,60,60,60,60,60,480,540,540
Claudia3313Orlando1,Claudia3313Orlando,Claudia3313Orlando1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,5,1,1,1,7,8,Casa donde vive,3,30,6:00:00,,30,150,30,30,30,210,240,
Claudia3313Orlando2,Claudia3313Orlando,Claudia3313Orlando2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",5,1,1,1,4,6,8,Casa donde vive,3,15,6:00:00,,75,15,15,15,60,90,120,
Claudia3313Orlando3,Claudia3313Orlando,Claudia3313Orlando3,Mañana,Estaba solo,Trabajó,Trabajó,6,6,1,1,3,7,8,Casa donde vive,3,60,7:00:00,,360,360,60,60,180,420,480,
Claudia3313Orlando4,Claudia3313Orlando,Claudia3313Orlando4,Mañana,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",5,6,1,1,6,5,7,"Viajó a algún lado (coche, caminando, bicicleta)",10,15,7:00:00,,75,90,15,15,90,75,105,
Claudia3313Orlando5,Claudia3313Orlando,Claudia3313Orlando5,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,4,4,4,1,5,4,8,Lugar de trabajo,10,300,10:00:00,9,1200,1200,1200,300,1500,1200,2400,2700
Claudia3313Orlando6,Claudia3313Orlando,Claudia3313Orlando6,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",4,4,1,1,5,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",3,15,13:00:00,,60,60,15,15,75,105,120,
Claudia3313Orlando7,Claudia3313Orlando,Claudia3313Orlando7,Tarde,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",3,1,3,1,4,6,8,Casa donde vive,3,60,13:00:00,9,180,60,180,60,240,360,480,540
Claudia3313Orlando8,Claudia3313Orlando,Claudia3313Orlando8,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,8,Casa donde vive,3,60,14:00:00,,60,60,60,60,60,480,480,
Claudia3313Orlando9,Claudia3313Orlando,Claudia3313Orlando9,Tarde,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",4,6,1,1,1,7,8,Casa donde vive,3,30,15:00:00,9,120,180,30,30,30,210,240,270
Claudia3313Orlando10,Claudia3313Orlando,Claudia3313Orlando10,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",5,6,1,1,1,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",10,15,15:00:00,,75,90,15,15,15,105,120,
Claudia3313Orlando11,Claudia3313Orlando,Claudia3313Orlando11,Tarde,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,5,4,5,1,5,4,8,Lugar de trabajo,10,240,17:00:00,9,1200,960,1200,240,1200,960,1920,2160
Claudia3313Orlando12,Claudia3313Orlando,Claudia3313Orlando12,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",4,3,4,1,3,6,8,"Viajó a algún lado (coche, caminando, bicicleta)",3,15,20:00:00,,60,45,60,15,45,90,120,
Claudia3313Orlando13,Claudia3313Orlando,Claudia3313Orlando13,Noche,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",3,1,4,1,1,8,8,Casa donde vive,3,60,20:00:00,10,180,60,240,60,60,480,480,600
