Código_Actividad,identificacion,Código_Actividad,Hora del Dia,Etiqueta Interacción,Etiqueta Actividad,Etiqueta Actividad Resumida,Preocupación,Prisa,Irritación,Depresión,Tensión,Calma,Disfrute,Lugar de actividad,Zona_Actividad,Total en minutos de la actividad,Hora actividad redondeada,A_gusto_en_la_Interacción,Minutos*Preoc,Minutos*Prisa,Minutos*Irritación,Minutos*Depresión,Minutos*Tensión,Minutos*Calma,Minutos*Disfrute,Minutos*AgustInter
Claudia10108Guillermo8,Claudia10108Guillermo,Claudia10108Guillermo8,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,10,10,Casa donde vive,10,75,14:00:00,,75,75,75,75,75,750,750,
Claudia10108Guillermo9,Claudia10108Guillermo,Claudia10108Guillermo9,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",1,3,1,1,1,8,9,Casa donde vive,10,10,15:00:00,,10,30,10,10,10,80,90,
Claudia10108Guillermo10,Claudia10108Guillermo,Claudia10108Guillermo10,Tarde,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,4,1,1,1,8,8,Casa donde vive,10,15,15:00:00,,15,60,15,15,15,120,120,
Claudia10108Guillermo11,Claudia10108Guillermo,Claudia10108Guillermo11,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,4,1,1,1,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",12,10,15:00:00,,10,40,10,10,10,70,80,
Claudia10108Guillermo12,Claudia10108Guillermo,Claudia10108Guillermo12,Tarde,Destinatario de nuestra actividad laboral (Cliente / paciente / alumno),Trabajó,Trabajó,3,1,1,1,1,9,9,Lugar de trabajo,12,300,18:00:00,9,900,300,300,300,300,2700,2700,2700
Claudia10108Guillermo13,Claudia10108Guillermo,Claudia10108Guillermo13,Noche,Con amigos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,9,9,"Viajó a algún lado (coche, caminando, bicicleta)",10,10,20:00:00,9,10,10,10,10,10,90,90,90
Claudia10108Guillermo14,Claudia10108Guillermo,Claudia10108Guillermo14,Noche,Con amigos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,9,9,Casa donde vive,10,30,21:00:00,9,30,30,30,30,30,270,270,270
Claudia10108Guillermo15,Claudia10108Guillermo,Claudia10108Guillermo15,Noche,Con amigos,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,2,1,1,9,9,Casa donde vive,10,60,21:00:00,9,60,60,120,60,60,540,540,540
Claudia10108Guillermo16,Claudia10108Guillermo,Claudia10108Guillermo16,Noche,Con amigos,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",9,1,1,1,1,9,9,Casa donde vive,10,60,22:00:00,9,540,60,60,60,60,540,540,540
Claudia11109Marcela1,Claudia11109Marcela,Claudia11109Marcela1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,5,1,1,2,9,9,Casa donde vive,11,15,7:00:00,,30,75,15,15,30,135,135,
